domain,ctr,count
5KFElpa0BZkskTKbuKz,0.037037,27
eSMvlxk0G9TRwdmY5SqW,0.037037,27
trqRTuxvGQkhkqKbuKz,0.0364964,137
DSFSB19SgZ101m58uMpEN0,0.0357143,28
trqRTJ2RXQL7gspy,0.0350877,57
trqRTJaSGNB7gspy,0.0344828,29
eDz-VD2SMNTrXqKbuKz,0.0333333,30
5KFJexFvdNuIFs5SwMpENpn,0.0322581,31
trqRTuu9BqshwMB4JKTI,0.03125,32
tdxjBeNEMNl7gsz,0.030303,33
kSESTuN9Gq591m58uG,0.0294118,34
trqRTvprGIus1m58uG,0.0294118,34
trqRTud9joj7gspy,0.0285714,35
trqRTvdWGZNh1m54,0.0275229,327
trqRTJBROvL7gspy,0.0271003,369
trqRTvdxMyl7gsz,0.027027,37
DFKvt6k0LqSI1m58uG,0.027027,37
trqRTvNNGQmmjgNhwJSAvu2_oT1A,0.0263158,38
trqRTuqxOvC7gspy,0.025641,39
kFz-Zx5uX5s7Xgl,0.025641,39
trqRTu1uGTdUgNK4wJB,0.0250965,518
trqRTupoBZqRadmoumpENpn,0.0238095,42
trqRTvuJMoTYFmaKlObWNxup,0.0227273,1144
trqRTuNoMN1mXMKEegbWvpdh,0.0222222,45
trqRTvKEM9x8JdC4JKl,0.0217391,46
Dr1NTuTEM9E7JgC4JKTI,0.0217391,46
lFn-VDj0Q9Kr,0.0217391,46
trqRTu9-GTTYFOb4JKn,0.0212766,47
lFMbG5MEMNF0jMMywFpRqrk6gvRiYd56,0.0212766,47
trqRTupojNuIXYB4JKn,0.020979,143
trqRTu1JXTqYFmdfaFLWvpdh,0.0204082,49
emxEG51JOeC81m58uG,0.02,50
trqRTJkrjqTSgqKbuKz,0.0196078,51
tMxcGDl0Q9Kr,0.0191083,157
trqRTuqvgok7gsz,0.0181818,55
DFpETvdyMoFh1mpWwW,0.0181818,55
trqRTuSvQNz7wOj,0.0178571,56
DrqFTJl9GTq8jMu45Spr-P,0.0178571,56
trqRTu1-Lej7gspy,0.0174672,229
trqRTv1xg9uIkTKbuKz,0.0167598,1432
trqRTJnrOQ59wTKbuKz,0.016129,62
eApvexk0Q9T4Js5SaFpYqxMzmw,0.016129,62
trqRTJ2RP6k7gspy,0.015444,259
trqRTvdNBQNYjmmY5SqfNX,0.0149254,201
trqRTuFJMI5y1m58uG,0.0149254,134
trqRTJnrOpscFsf,0.0142857,70
DF9blS8yPQFfw9KbuKz,0.0142857,70
trqRTuumBQNI1m58uG,0.0140845,71
kmREt51ydNsowH,0.0138889,72
trqRTumJMNSI1m5b,0.0136986,73
trqRTv1oGQuIXqK4wJB,0.0133333,75
5K97t19NGqNrgqKbuKz,0.0131579,76
5Dj-luN8jTL7FmMs,0.0131579,76
5SmFTvKaXTKfgg24JKTI,0.0131579,76
3K9jte20XIp81m54,0.0128205,78
trqRTuTJjQqojYB4JKTI,0.0126582,79
trqRTJkrX9TEwqKbuKz,0.0125,80
trqRTu1mBoL7FmMs,0.0121951,82
5Sc-GxfIL5scFsf,0.0114286,175
trqRTJkyPvMyJqKbuKz,0.011236,89
trqRTuxbjTE7gspy,0.0107527,93
lDFceS9aM98,0.0106383,188
trqRTJB8Mok7gspy,0.0104167,96
5A1xGeTIdoMNFs9owDEWvpdh,0.0103093,97
eS8-Ze1oMNj7gspy,0.010274,292
trqRTvdEM9KNXqKbuKz,0.0102041,98
trqRTuS8jZL7FmMs,0.0101652,787
trqRTvMvG62y3TKbu-,0.0101523,197
trqRTumwOvn7gspy,0.010101,198
trqRTJkrg950FsL4JKTI,0.00980392,102
trqRTvuJX9q7kTKbuKz,0.00977869,1943
eDqJBea0Q9Kr,0.00970874,103
DSMvqun0MNKfXMk4JKTI,0.00961538,104
khn-GpMwXQL7gspy,0.00952381,105
trqRTvuyGeLW3qKbuKz,0.00943396,212
erdbexb0gI5RgsxfU11_qxMzmw,0.00925926,108
trqRTuTNMxscg4,0.00925926,108
trqRTuMaX9T7X9K4wJB,0.00917431,109
eS10GuuaG5s8XdKYUAlWvpdhM9Fi,0.00909091,110
3F2-GxfIL5scFsf,0.00900901,111
trqRTvLrOyc7gspy,0.00892857,112
31SEZDjRdN17,0.00877193,114
trqRTvuEXqdYgMKRUMpENpn,0.00862069,116
trqRTuuRBZqR1m54,0.00858369,233
trqRTu1NGoq71m54,0.00840336,119
trqRTuNygqN7Xs1o5SqW,0.00838574,477
DS9bexf0MNq91m54,0.00826446,121
trqRTu1JX9q7aOMY5Spr-P,0.00813559,4425
DFa-exuxjea7gspy,0.00813008,123
DFpETumJGNT71m54,0.008,125
trqRTvurjZL7gspy,0.008,2375
trqRTvKaL6ky1m58uG,0.00787402,127
trqRTuRrLenI1m58uG,0.00785787,2927
trqRTuTyB927gsk,0.0078125,256
trqRTuSog9uY1mKYUV,0.00763359,131
trqRTudNQqsbXhM85Spr-P,0.00760456,263
3K9RquSEQqk7XdmEaMpKUuM9MIq6Fsu2x-,0.00738007,271
trqRTvdSg6l91m58uG,0.00732601,546
trqRTuN9Gq591m58uG,0.00724638,138
trqRTJk7OZuhkTKbuKz,0.00699301,143
trqRTuFNByLW3qKbuKz,0.00694444,144
trqRTu9vX9uIgqKbuKz,0.00694444,144
trqRTvdJMoFoFNK4wJB,0.00680272,147
trqRTvFyMNxRwmB4JKTI,0.00678426,1474
51K-txpUMIa7FMB,0.00675676,148
trqRTJCRBQ27gspy,0.00671141,149
DFpETuMSgIqI1m58uG,0.00662252,151
5dxEBuFyGol7gspy,0.00659341,455
trqRTJk7XZMU1m58uG,0.00653595,153
trqRTuFwgNL7gspy,0.00653595,153
trqRTub8OeC7gspy,0.00653595,153
trqRTJlrGQd9FsKE5SqfNX,0.00653595,459
trqRTvFIXZ1f1m58uG,0.00649351,154
trqRTJuxMIq41m54,0.00649351,154
kS5jTvFojTNE1m58uG,0.00638978,313
trqRTvKJBQpvjgqKUdpENpn,0.00636943,157
trqRTu1EXqdvFNKbuKz,0.00628931,159
trqRTv5yPvl91m58uG,0.00621118,161
eF1gtK9cXqT7jOMoarjWvpdh,0.0059988,1667
trqRTumJMI1mjqK7c1FS-1TRmT2,0.00588235,510
trqRTJuuBok7gspy,0.00581395,344
tAk-lvFvGZk7gspy,0.0057971,345
trqRTvdJGNqmFsn4JKTI,0.00578035,173
trqRTuTwGINh1mKYUV,0.00573888,697
eKFjTv1oGQuIXqK4wJB,0.00561798,1068
trqRTvMoMvucjdm4JMpENpn,0.00561798,178
trqRTuMyBq1mwMmmwFpRqxdi-i,0.00556586,539
HOL7VvprdN1RFt,0.00555556,180
kFFgBpuJMxs0adMmUdpENpn,0.00549451,182
tMxjlpu0Qq5vFm5Y5SqW,0.00545455,550
trqRTvKyXT1SwML4JKTI,0.00543478,184
eSMbQK9wjQ54ggFYudpEN0,0.00537634,186
5A1xGeTIdoTy1m58uG,0.00537634,186
trqRTvd-OeLy1m58uG,0.00533867,2997
5F1RQS9aMoFoJhl4JKTI,0.00516796,387
51L-eyNxXuscFsf,0.00510204,196
trqRTv1JBZqv1mKYUV,0.00497512,201
trqRTJkyBTa7gspy,0.00497512,402
trqRTvNJBQuYgMzywS1WbuR_oT1A,0.00487805,205
trqRTuFxjoj7FmMs,0.00483092,207
trqRTv1xgTTYjdd4wspENpn,0.00480769,208
kSKbTuNRjQ191m54,0.00478469,209
trqRTvdJMoFoFoc4JKn,0.0047619,210
DFpETv1oGQuIXqK4wJB,0.00473186,634
lD1NG19ujTmI1m58uG,0.0045977,435
trqRTuLIOeC81m58uG,0.00458716,436
trqRTJTbXqSI1m58uG,0.00454545,220
trqRTvq4XN501m58uG,0.00444444,450
trqRTJk7G59rgMmx5SqfNX,0.00442478,226
trqRTvuojqc7gsk,0.0043753,2057
trqRTvKvMNF-wqKbuKz,0.00436137,1605
trqRTuxEgI1YXM9xJMpENpn,0.00434783,230
trqRTvprjTKR1m58uG,0.00434783,230
5197l55wMIa7gmd8wSFWUKT_-oa,0.00434304,16348
trqRTJquBQc7gspy,0.00426439,469
trqRTvFRLec7gspy,0.00425462,6111
trqRTJuSQqf7FmMs,0.00424628,471
lJ1bGx50dN1mggSrw1SYNSTRmT2,0.00416089,1442
e1Fol5SJdNsowH,0.00413223,242
trqRTvp8GQNh1m58uG,0.00403226,248
5F1RQS9NXqTSgMqA5SqfNX,0.00401606,249
trqRTJnIP9L7gspy,0.00401606,249
trqRTudNQqSN1m58uG,0.00393701,254
trqRTvdygTT71m9o,0.00387597,1806
kDC-txx8dN17,0.003861,259
DSK0TudJgo1cjdm4JMpENpn,0.00384615,260
tA1El6k0Boq7JsNrvKmAqxMzmw,0.00379747,790
tMxXeuTEMxscFsf,0.00378788,264
trqRTuSJMN5RFma4JKTI,0.00374532,267
trqRTJMIPxscFsf,0.00373134,268
5KFwt19cMQj7gsz,0.00370175,1891
trqRTuqEQIq8wOl4JKTI,0.00369004,271
kJz-G6qRMIl7gspy,0.00369004,271
trqRTJFRLZL7gspy,0.00367647,272
trqRTJaIjoqRwsM45SqfNX,0.003663,273
trqRTvKJBQpvjqK0uG,0.00361011,554
trqRTvNyMIFoFmxh5Spr-P,0.00358423,279
trqRTJa9jNuYgmn4JKTI,0.00347826,575
trqRTupoXZu91m58uG,0.00343643,582
trsETu1EQ9q41Yu9vspEN0,0.00338983,590
trqRTud0B9T7X9KbuKz,0.00331126,302
trqRTuTyjqN0wqKbuKz,0.00330142,3029
trqRTvuJMNF9JsB4JKTI,0.00327332,611
trqRTumyQqN9wNK4wJB,0.00319489,313
trqRTuNRjqS81m58uG,0.00318471,942
trqRTuuwM9KEkTKbuKz,0.00312989,639
trqRTuNRjNS81m54,0.00309598,1292
lDMjq65wdN1c,0.00290698,344
eKFjTuMyQ9uoFma4JKTI,0.00283822,1057
trqRTud0BZqvXdp4wspWUvj,0.00273973,365
trqRTvquBQ1E1m54,0.00271985,1103
trqRTJjSQqC7gspy,0.0027027,370
trqRTuL9dN1r,0.00266904,1124
trqRTJk7Q9uo1m58uG,0.00266667,750
trqRTvprB9b7gsz,0.00266193,1127
trqRTuqvGQNR1m58uG,0.0026455,378
trqRTuNRjNS81m58uG,0.00258732,773
trqRTJl4jQL7gsk,0.00255754,391
trqRTJkrPeMoXOB4JKTI,0.0025413,787
trqRTuTJBQc7FmMs,0.00252525,4356
trqRTudJBquRFmuzwFpp-ua_oT1A,0.00252525,396
trqRTvBRg91mFspx5SqfNFTRm7,0.00251889,794
6OnEtup0gxscFU,0.00247525,404
erf-exFoMNTNgMmxcMpENpn_oTC,0.00246914,405
3SKbBpuJMxs0FsxYaSEWvp2,0.00243902,410
trqRTvMvMN9YDQCs5SqfNX,0.00243013,823
trqRTvNyM91mXqKbuKz,0.00242131,413
trqRTuxvBq9YFmuswFpRqxMzmw,0.00240964,415
trqRTv50BoL7gspy,0.00240577,2494
trqRTJ27Pea7gspy,0.00234192,427
trqRTvdNXqT7Xhq_5Spr-P,0.00232693,5157
trqRTu9EMNFSjqKbuKz,0.00232558,430
lFMvqup0dNmsXMqs5SqfNX,0.00230947,433
trqRTu1EXqxvjMqh5SqfNX,0.00229358,436
edx4G5u-BqTfgMKE5SqfNX,0.00229358,436
2h5wl5SvdNmRaqKbu-,0.00219861,2729
DFpETvuoMNF0jMMfa1FWUKTRmT2,0.0021978,455
DS9ol5C0g9Mvgsa4JKTI,0.00217865,459
trqRTuSEXTKSXqKbuKz,0.0021692,461
DDsvTvFoQqK8jOM8crbWvpdh,0.00213675,468
trqRTvFoQqKbwg5SaMpENpn,0.00212766,940
trqRTuTEM9SbXga4JKTI,0.00208768,479
5AC-exNuQoc7FmMs,0.00204499,489
trqRTvNyBqmYgguouScWvpdh,0.00203252,492
trqRTJTmBqT7X9K4wJB,0.00201207,497
trqRTuFJBTTfaTKbuKz,0.00200803,498
eA1XTupSMZq81YT9UDaWvpdh,0.00200092,32485
trqRTuqUGZc7gsk,0.00198151,1514
trqRTvuvXZFR1m58uG,0.00192308,520
trqRTJ24P5scFsf,0.00192184,3122
trqRTvurBTuh1m5b,0.00191939,1042
DJa-GxfIL5scFsf,0.00191939,521
kSKbQxFodNmsXMqs5SqfNX,0.00189514,1583
trqRTuqvBQmvFNKbuKz,0.00186567,536
trqRTvNNXQmmwqKbJW,0.00185185,1080
trqRTuLrjZb7FmMs,0.00180288,1664
trqRTv1oMNFcFddfvspWUvj,0.00174216,574
DFpETv19XTsRwmMx5SqfNX,0.0017316,1155
trqRTu1IOeLy1m58uG,0.0016835,594
eKMbGpf0G99f1m54,0.00167738,3577
trqRTJB8L6usjMd8vKmANKTRmT2,0.00165289,605
trqRTuqYjZu81m58uG,0.00164474,608
DSmreF9xMIp8gMuY5SqfNX,0.00163666,611
era-VDj0Q9Kr,0.00162338,616
eKFjTvuyMTl7JspSUMpENpn,0.00162338,616
trqRTuTWGouf1m58uG,0.00162338,616
trqRTvprXZls1m58uG,0.00162075,617
eK2-GpMwXQL7gspy,0.00160772,622
trqRTJpxBqsb1m58uG,0.00160643,1245
trqRTJkrjouf1mKYUV,0.001606,3736
trqRTvTJMoFoFYNrJFTzceuzM9FnSU,0.00159574,1880
trqRTJzrBZC7gspy,0.00156006,641
tF9vexk0BZqxwqKbuKz,0.00151286,1322
DF9blS9bQqsIFYB4uA5R,0.00149142,4023
trqRTJkyOeas1m58uG,0.00146199,2736
trqRTvd9Q9sf1mKYUV,0.0014245,4914
trqRTJn7OTT8j9KbuKz,0.00139665,2864
kK1Xt5a0BqTUXqKbu-,0.00138696,721
trqRTuF9Gqf7gspy,0.00138696,721
trqRTuToQqs_jdmWwFpzc5u_-pd8SdC,0.00137931,725
tS1vtup0GxsNaYuzUspENpn,0.0013587,736
eS2-exFoMNT_1m58uG,0.00135135,740
DFpETupaXTKhJ9K4wJB,0.00134771,1484
trqRTvuoMNF0jMMfa1FWUKTRmT2,0.00131637,2279
trqRTuNvBQuIFNKbuKz,0.00130548,1532
trqRTuToMTNUjM9r5rMi,0.00129132,3872
trqRTud0Q9s_1mKYUV,0.00127877,782
DFpETudRGTf7FmMs,0.00127226,786
5KKFB19rg5scFsf,0.00123044,5689
kK1gq61NdoTy1m58uG,0.00123016,17071
trqRTva9OZL7gspy,0.00122249,1636
trqRTv1mjZ1f1m58uG,0.00121286,1649
trqRTvpogNlyDok4JKTI,0.00120209,21629
tK1jlK9rg5scFsf,0.00120027,34159
trqRTJB8XN1N1m58uG,0.00116171,8608
trqRTu1ojqN-gMKzwFnWvpdh,0.00115607,2595
trqRTuuxBTKrXqKbuKz,0.00115385,2600
trqRTJubX5scFsf,0.00115381,19934
trqRTJkrGIuyFqKbuKz,0.00113507,1762
trqRTuSoMNmI1m1rc-,0.0011274,887
kK9ot19YGqN8jdmba1SWvFTRmT2,0.00111607,1792
trqRTvFoMNFrjMKE5Spr-P,0.00110988,901
trqRTuxEXTK4Xmd4vspENpn_oTC,0.00107585,1859
tFKETuqyMo1mjMp45SqfNX,0.00106798,18727
trqRTvprBNNv1m58uG,0.00106213,1883
5K1ae5E0G99f1m54,0.00105708,946
DFF4TuMvjTN7X9KbuKz,0.00105541,1895
tAB-Bv5oBNNvwsd4wspENpn,0.00104058,961
3FF-e59aG5syJqKbuKz,0.00102433,58575
Dr1NTvprdN1RFt,0.00100878,16852
trqRTudvg9uYXhMouScWvpdh,0.000997009,1003
trqRTuqvMommjqKbuKz,0.000962464,1039
trqRTvdNXqT7JsNh5SqfNX,0.000940291,2127
DF9blS9RM9KhwgB4JKTI,0.000921659,2170
trqRTJTxX5scg4,0.000914913,1093
null,0.0009148,128990
trqRTv19X6BW1m58uG,0.000914077,1094
trqRTumvjQq7amNoumpENpn,0.000903342,1107
31drTvprdN1RFt,0.000900264,46653
3KFal19xGq1m1YdI5SqfNX,0.000893176,16794
3KFjGK9IMIqNgMn4JKTI,0.000877193,1140
trqRTu59Qq8s1m58uG,0.00087165,4589
eDz-Bv5oBNNvwsd4wspENpn,0.000869565,1150
trqRTumvQqNNjMd45SqfNX,0.000867303,1153
trqRTumyMqc7gsz,0.000853971,1171
trqRTv14MqTR1m58uG,0.000846024,8274
trqRTuFyM91mXqK4wJB,0.000839631,2382
trqRTvu-QoN81m58uG,0.000835422,1197
5F1RQS9vOvL7gsz,0.0008285,1207
3Sl-B6u8j5scFsf,0.000820681,2437
trqRTuFJM95RwqKbuKz,0.000819672,1220
trqRTJdmBqT71m58uG,0.000809717,4940
3FKElpuEMusyJqKbuKz,0.000809275,121096
ersbQv1RdoTy1m58uG,0.00079439,117071
5F1RQS9rg5scFsf,0.000790158,315127
trqRTJl4PyCy1m58uG,0.000786075,8905
trqRTudNMoux1m58uMpEN0,0.000777001,1287
k1djeeTudvcyDM5SJMpENpn,0.000772201,1295
trqRTvTEXq5YFma4JKTI,0.000766871,1304
trqRTuxvBQ1mjME4uSFK,0.000758725,1318
trqRTuNEQoqY1m58uG,0.000754717,1325
trqRTJkrBNNoFMM4wspENpn,0.000723066,1383
trqRTudNQq1mgM1o5SqfNX,0.000708215,1412
kJMcQS9-jTqNwTKbuKz,0.000701016,5706
eSKot19RXTKcjh5sJJkWvpdh,0.000685871,1458
trqRTJk7QNxvgsx-wJ5_bFTRmT2,0.000661667,4534
3KxwTv1cQoq81m58uG,0.00065445,1528
trqRTu9Ego5mFmMzvspEN0,0.000654022,1529
lFMrBek0gImmwMFh5SqfNX,0.000645995,1548
tSK-txxoMNj7JOTfUDaWN6q8,0.000642261,1557
5F97t5E0BTK7XhNrUMpENpn,0.000640234,21867
trqRTvFRLpscFU,0.000614402,16276
trqRTuTEM9EyDZc4JKTI,0.0006035,1657
trqRTvdbjq17DqKbuKz,0.000588928,1698
lKSjQS9wXQNYjYB4JKTI,0.000584795,1710
trqRTu1JM99Igmm7aMpENpn,0.000584112,1712
DFKXB19rg5scFsf,0.000569152,1757
trqRTuNEB9q0jqKbu-,0.00056338,1775
trqRTuMvjTN7X9KbuKz,0.00054966,112797
trqRTu1JBNNvXOB4uSFK,0.000529241,3779
trqRTvMEB9T71m58uG,0.00052567,5707
trqRTuxvBQ1mjM5SaFpYqxMzmw,0.000522739,1913
trqRTvdaQ9s71m58uG,0.000520291,3844
DFpETvprMq1c1m58uG,0.00051573,1939
trqRTvpWM9so1m5b,0.000500563,7991
trqRTv1EXQuYgMKE5SqW,0.00048528,6182
DFF4V19RQqsNgMb4uSFK,0.000481696,8304
trqRTvFoXq9ojqKbuKz,0.000470367,2126
DD1SqS9rg5scFsf,0.000461197,23851
5FTETvF4MN27gspy,0.000457771,4369
trqRTuTEB9K71mKYUV,0.000455789,2194
trqRTvdyQ9TYwdmourmyvFTRmT2,0.000454752,2199
trqRTvqEQxscFsf4JKn,0.000452694,2209
trqRTud7jQ19gM9WJFMyNKTRm7,0.000442511,13559
trqRTuTJBqSo1m58uG,0.000435477,6889
DDTSQuf0MTTNaqKIvMpENpn,0.000426147,53972
trqRTup0gQl7gspy,0.000422833,4730
trqRTvpogNlyDok4uSFK,0.000417537,2395
tKFJeun0BouoXOl4JKTI,0.000403959,14853
trqRTJkrXTq8wTK4wJB,0.000403673,19818
3SKblxpEdNqsgMfK5SqfNX,0.000394089,5075
trqRTudJBquRFmusJFpRqxMzmw,0.000392157,2550
trqRTJn7O95I1mKYUV,0.000386648,15518
trqRTvpoXQ1mjM1oaF9rqxMzmw,0.000374298,8015
3SKoteC0gQ27gspy,0.000363967,16485
trqRTJlIP6c7gspy,0.000362845,2756
trqRTJz7P9T4wTKbuKz,0.000352299,5677
trqRTJ5ogZL7FmMs,0.000350324,5709
5F1RQS99BqT7Xha4JKTI,0.000345543,2894
DF9blS9rg5scFsf,0.000315723,9502
5KKFB19cMQj7gsz,0.000315657,3168
trqRTJkrBoq7JsNr5SqfNX,0.000305935,9806
trqRTuFJBT27Fgc,0.000297619,6720
trqRTvFoMNmIFY5SaMpENpn,0.000296179,10129
trqRTJkIXTz7gspy,0.000292028,10273
trqRTuSWOeL7gsz,0.000285388,3504
trqRTud0B9c7gspy5SqW,0.000276052,7245
trqRTvp8gIc7gspy,0.000264131,3786
trqRTuqJjTN7Xha4JKn,0.000252589,3959
trqRTu1EXqxIFsqouDjWvpdhM9Fi,0.000240674,4155
3J2-tv50g9uYFsz4JKTI,0.000235627,4244
trqRTJz7OykI1m58uG,0.000214087,4671
trqRTvKaXTKfgg24JKTI,0.000190913,10476
trqRTuNyjqKIJgB4JKTI,0.000175439,11400
DFpETuxoGQdcFNKbuKz,0.00017365,40311
tFFJGS90GQF81YdI5SqfNX,0.000166279,6014
k1Sgtx5RdousJhb4uSFK,0.00015921,6281
trqRTuxJMT27gspy,0.000158403,6313
DFpETuFygZl7gspy,0.000135144,14799
51FNTudNBqsvjMmfvspENpn,0.000109051,9170
31xSTvprdN1RFt,4.25522e-05,211505
lKFgqu9oMNj7jd1WJspENpn,0,1
trqRTvuwLea81m58uG,0,1
eS9wGK9-jTqNwTKbuKz,0,12
trqRTJk7GTq8jMu45SqfNX,0,212
trqRTuxvBqxYDoL4JKTI,0,1
trqRTu9vX99vjsMW5SqfNX,0,9
eDKateFoMNj7JgdAJMpENpn,0,4
DSKvtxsydN9YFmuxUFxyqxMzmw,0,1
5Dj-B5u0G9mYXg5SwFpRqxMzmw,0,141
3FK-Gx50doq7jYk4JKTI,0,2
DSmreF9bQqs9JhMh5SqfNX,0,1
trqRTvTJMqK81mKYUdpEN0,0,19
3AdFerl4PvB7gsz4uF18Uv1zmqLiYd56,0,1
eApbt65aXps7XglIegBWvpdh,0,71
trqRTJ5xBZMYFd9owKjWNua,0,1
trqRTvdEGZqsjMd8vKmANKTzY9E,0,10
trqRTJk7OTmYgMSrJMpENpn,0,1
trqRTvNJBq5IXOB4JKTI,0,22
lJC0Tv1cQoq81m58uG,0,11
tSmEGx58MpscXqKb5FlWvpdh,0,1
trqRTJC7P6L43TKbu-,0,1
eKb-lvFvGZk7gspy,0,15
trqRTuu7Bq1m1mm4wS2,0,1
eSMvB5p0doNRwM1rJFnWvpdh,0,1
3F90G5R0X9K4XO1YwSF_UuTR-ud8SdC,0,1
trqRTuSEXNqyamp4wMpWUvj,0,7
5dSNt59EXNzrgQk9edp9cv56oTCiYd56,0,2
Dr1STudWjTNI1m58uG,0,4
erdgQF9mQq5hkZcstdpENpn,0,31
tS90qp17MINvFOk4tg1EcvFZM9FnSN1fxW,0,1
6hzmTvMvBQmmgMKEUK1WUKTRmT2,0,4
trqRTv1JMTSRXmKoaFxYqxMzmw,0,1
kJqRTuN-XIuc1mKYUV,0,2
tSB-GpMwXQL7gspy,0,26
e1ujlACROxscFNKyJF9ro5dsmpd8SdC,0,1
trqRTuMEMQ5W1mKYUV,0,1
6mxgq5qvMus8jMKoJJdsqxMzmw,0,1
eFKXeuuxdNTUgMKE5SqfNX,0,15
3J1Elpa0QNTYjsB4JKTI,0,1
trqRTupRgpscFU,0,1
kFF-tyNNMIl7FdmYJSSYNKTRmT2,0,1
e1Fot580BTqhjgc4JKTI,0,1
51E-VDj0Q9Kr,0,9
trqRTvdEg9z8D9KbuKz,0,33
eSKoqyuvdN17XdpE5Spr-P,0,5
D1FyG5mvdN1RFt,0,1
eSMvQpu0GTNh1m1oaF9rqxMzmw,0,1
3FKElpuEMusyJg1YJFBWvpdh,0,4
tKKvQxFJMusUgMmRwMpENpn,0,1
3Jn-ZJ1vMuscFsf,0,1
trqRTud0gqKS1m58uG,0,2
5Dj-exFoMNq8XMNYuDdroSTRm7,0,1
lFMJquB0gNq8XsdrumpWUvj,0,2
trqRTu5JgINWFsC4JKTI,0,7
trqRTu5uXQFb1m58uG,0,48
5dS-qxmoQ58I3ok9c1zWN5xA0NFiFsu2x-,0,1
eruoeez0L6Bs3TKbu-,0,1
trqRTumJBQuYFYuK5SqfNX,0,2
k1xEGeTJMN1o1mSWampENpn_oTC,0,5
DSMgquMWBTKI1mMmwFpRqxM_,0,12
5dSuG5p8GqcrwZcKehlWN5xA0NFiFsu2x-,0,1
trqRTvNNQqK0jMd8JFnWvpdh,0,119
5Fn-txp0BNc7gspy,0,2
trqRTvNyMImIFhuYumpENpn,0,1
lFMJquMWBTKIwsMrcFSWNxk_oTCiSmMn7rMC9uBPIqFD,0,1
trqRTu1oQqKhwM9Y5SqfNX,0,21
trqRTvdoQ9SxJmp0aFsroKTRmT2,0,3
trqRTu10GomYFdmouspENpn,0,10
kF9XQx5JgN1m1md-uAFKqxMzmw,0,2
trqRTuq7GqqEgMpAJFnWvpdh,0,1
trqRTvKJgNS0Xgqf5SqfNX,0,1
lJ1-B5a0jqKIgmmoumpENpn,0,2
3Ja-VDj0Q9Kr,0,225
trqRTuxvBqxY1m54,0,6
tdxrledNGqmY1m58uG,0,2
5dSgQ6KmG59YJddm5FKyNxR_mq967muHuKNC90,0,1
5dSal5s0GqlrXszWeOjWN5xA0NFiFsu2x-,0,2
trqRTvdyQ9TY1m54,0,5
trqRTuFyQqsbFMMrc1EWvpB,0,2
eSB-lpT7QxscFsf,0,29
2hz-CAn9O5scFsf4JKn,0,2
kDsuqx9vdN9vgsuouFjWvpdhM9Fi,0,1
D1xFQusoGpsvFYdh5SqfNX,0,4
3J1Fe580jZu_J9K8vSc,0,2
31SXt5L0Q9uYFmdrU1sYvSTRmT2,0,1
trqRTu9vM9qvJsB4JKTI,0,1
51KyeDzIdN17,0,8
kA1gq55og9uIjMKhJFnWvrq7M9x8JZETuKNC90,0,1
trqRTJl4LeN-gqKbu-,0,5
5dSXeubYBeBx3NKxaJ1Avp2_oT1A,0,1
eS9Eqr27dN1RFt,0,77
tDTJQvdagNNxwOk4uA5R,0,5
